"","cell_id","step_ix","simulation_i","sim_time","num_molecules","mult","lib_size"
"35","cell35",771,3,25.0083333333326,2579619,1.07338488119417,1284922
"36","cell36",80,1,6.00000000000009,2504513,0.656632468631142,950490
"37","cell37",836,3,90.0000000000177,2875933,0.378588655491331,3109629
"38","cell38",201,1,127.000000000047,2858411,0.471084747457963,2657852
"39","cell39",505,2,95.0000000000217,2885528,0.395797230740937,3285645
"40","cell40",216,1,142.000000000035,2837488,0.408703662178142,2475968
"41","cell41",461,2,51.0083333333311,2598366,1.27343456847084,1372930
"42","cell42",433,2,23.0083333333327,2560956,0.354926864523123,1032631
"43","cell43",479,2,69.000000000001,2604806,0.96204058576407,1437470
"44","cell44",804,3,58.0083333333307,2686437,1.56213474219397,1865777
"45","cell45",129,1,55.0083333333309,2637012,1.20675133937862,1631088
"46","cell46",785,3,39.0083333333318,2651975,0.602300133736209,1707362
"47","cell47",573,2,163.000000000016,2810093,0.488293322707569,2270616
"48","cell48",517,2,107.000000000031,2890636,0.406552590271941,3463582
"49","cell49",414,2,4.00833333333332,2535824,0.376437583585131,985694
"50","cell50",433,2,23.0083333333327,2560956,0.791594461481875,1032631
"51","cell51",93,1,19.0083333333329,2605501,0.970133429696537,1472673
"52","cell52",167,1,93.0000000000201,2901572,0.376437583585131,3901704
